ID,Trips,Date_Time_From,Trip_Date,Date_Time_To,work_time,Trip_Hours,Trip_Minutes,Trip_Seconds,Trip_Time,Trip_time_Percent,Off-Trip_Time,Odometer_From,Odometer_To,Total_Miles,Trip_Mileage,Trip_Mileage_Percent,Off_Trip_Mileage,Fare,Surge,Commission,Total_Payment,Work_Time_converted,Rounded_Hours,Earnings_Per_Hour,,
FRI0219,16,2/19/2016 20:19,02/19/16,2/20/2016 6:26,10:07:00,3,11,10,3:11:10,0.3149,6:55:50,172184,172354,170.2,85.7,0.503525264,84.5,162.2,,-35,139.98,10.1167,10,14,13.83652772,  
FRI0226,22,2/26/2016 20:35,02/26/16,2/27/2016 8:45,12:10:00,3,57,43,3:57:43,0.3256,8:12:17,173423,173611,188,90.68,0.482340426,97.32,174.89,,-34.96,139.93,12.1667,12,11.66,,
FRI0304,17,3/4/2016 19:45,03/04/16,3/5/2016 7:02,11:17:00,4,2,50,4:02:50,0.3587,7:14:10,174781,174981,200,113.56,0.5678,86.44,204.79,0,-40.96,163.83,11.2833,11,14.89,,
FRI0311,23,3/11/2016 18:21,03/11/16,3/12/2016 6:12,11:51:12,4,23,49,4:23:49,0.3709,7:27:23,176151,176373,215,114.22,0.531255814,100.78,211.7,15.74,-45.49,181.95,11.8533,12,15.16,,
FRI0318,19,3/18/2016 21:19,03/18/16,3/19/2016 5:56,8:37:15,3,13,51,3:13:51,0.3748,5:23:24,177485,177618,133,74.47,0.559924812,58.53,148.45,2.54,-30.18,120.81,8.6208,9,13.42,,
FRI0325,22,3/25/2016 20:57,03/25/16,3/26/2016 6:36,9:38:42,3,21,12,3:21:12,0.3477,6:17:30,178308,178439,131,63.21,0.482519084,67.79,149.41,8.32,-31.52,126.21,9.645,10,12.62,,
FRI0401,31,4/1/2016 18:40,04/01/16,4/2/2016 6:01,11:21:19,5,3,50,5:03:50,0.446,6:17:29,179477,179661,184,116.84,0.635,67.16,245.28,16.32,-52.36,209.24,11.3553,11,19.02,,
FRI0408,26,4/8/2016 20:43,04/08/16,4/9/2016 6:04,9:21:17,4,40,1,4:40:01,0.4989,4:41:16,180848,180998,150,91.18,0.607866667,58.82,193.4,29.05,-44.47,177.98,9.3547,9,19.78,,
FRI0415,4,4/15/2016 22:00,04/15/16,4/16/2016 1:00,2:59:05,0,44,18,0:44:18,0.2474,2:14:47,181905,181955,50,20.85,0.417,29.15,37.84,5.37,-8.64,34.57,2.9847,3,11.52,,
FRI0422,19,4/22/2016 19:02,04/22/16,4/23/2016 4:59,9:57:26,4,17,9,4:17:09,0.4304,5:40:17,182851,183036,185,128.64,0.695351351,56.36,228.32,14.33,-48.53,194.12,9.9572,10,19.41,,
FRI0429,26,4/29/2016 18:33,04/29/16,4/30/2016 6:05,11:32:06,4,27,21,4:27:21,0.3863,7:04:45,184041,184221,180,86.38,0.479888889,93.62,207.48,69.39,-55.39,221.48,11.535,12,18.46,,
FRI0506,17,5/6/2016 20:00,05/06/16,5/7/2016 4:56,8:56:11,3,49,16,3:49:16,0.4276,5:06:55,185221,185360,139,85.62,0.615971223,53.38,166.9,31.64,-39.7,158.84,8.9364,9,17.65,,
FRI0513,23,5/13/2016 20:00,05/13/16,5/14/2016 5:15,9:14:40,4,59,23,4:59:23,0.5398,4:15:17,186372,186538,166,107.94,0.650240964,58.06,213.48,5.08,-43.72,174.84,9.2444,9,19.43,,
MON0215,15,2/15/2016 20:15,02/15/16,2/16/2016 6:30,10:15:00,2,32,38,2:32:38,0.2482,7:42:22,171433,171558,124.8,63.71,0.510496795,61.09,128.75,,-25.76,102.99,10.25,10,10.3,,
MON0222,7,2/22/2016 22:02,02/22/16,2/23/2016 3:12,5:10:00,1,15,57,1:15:57,0.245,3:54:03,172843,172939,96,38.52,0.40125,57.48,69.07,3.7,-14.56,58.21,5.1667,5,11.64,,
MON0229,8,2/29/2016 22:40,02/29/16,3/1/2016 2:01,3:21:00,1,14,38,1:14:38,0.3713,2:06:22,174085,174151,66,35.09,0.531666667,30.91,66.56,,-13.31,53.25,3.35,3,17.75,,
MON0307,8,3/7/2016 20:13,03/07/16,3/8/2016 3:56,7:43:00,1,58,22,1:58:22,0.2557,5:44:38,175530,175675,145,64.39,0.444068966,80.61,106.47,0,-21.29,85.18,7.7167,8,10.65,,
